parameter,value,best_count,worst_count
mean_dist_quant,0.05,0,0
mean_dist_quant,0.1625,0,30
mean_dist_quant,0.275,14,0
mean_dist_quant,0.3875,0,0
mean_dist_quant,0.5,16,0
k_seeding,15.0,14,10
k_seeding,25.0,0,0
k_seeding,35.0,0,10
k_seeding,45.0,0,10
k_seeding,55.0,16,0
alpha_mad,0.25,0,30
alpha_mad,0.4375,0,0
alpha_mad,0.625,14,0
alpha_mad,0.8125,7,0
alpha_mad,1.0,9,0
alpha_accept,0.25,10,6
alpha_accept,0.4375,11,6
alpha_accept,0.625,4,6
alpha_accept,0.8125,2,6
alpha_accept,1.0,3,6
min_intersection,1.0,8,0
min_intersection,2.0,8,0
min_intersection,3.0,8,0
min_intersection,4.0,5,15
min_intersection,5.0,1,15
