parameter,value,best_count,worst_count
mean_dist_quant,0.05,0,20
mean_dist_quant,0.1625,0,0
mean_dist_quant,0.275,2,0
mean_dist_quant,0.3875,26,10
mean_dist_quant,0.5,2,0
k_seeding,15.0,6,0
k_seeding,25.0,3,0
k_seeding,35.0,11,10
k_seeding,45.0,0,5
k_seeding,55.0,10,15
alpha_mad,0.25,0,30
alpha_mad,0.4375,0,0
alpha_mad,0.625,11,0
alpha_mad,0.8125,16,0
alpha_mad,1.0,3,0
alpha_accept,0.25,0,6
alpha_accept,0.4375,0,6
alpha_accept,0.625,0,6
alpha_accept,0.8125,1,6
alpha_accept,1.0,29,6
min_intersection,1.0,10,0
min_intersection,2.0,5,0
min_intersection,3.0,5,5
min_intersection,4.0,5,10
min_intersection,5.0,5,15
