parameter,value,best_count,worst_count
mean_dist_quant,0.05,9,0
mean_dist_quant,0.1625,0,0
mean_dist_quant,0.275,21,0
mean_dist_quant,0.3875,0,0
mean_dist_quant,0.5,0,30
k_seeding,15.0,9,10
k_seeding,25.0,0,0
k_seeding,35.0,5,5
k_seeding,45.0,16,0
k_seeding,55.0,0,15
alpha_mad,0.25,0,30
alpha_mad,0.4375,0,0
alpha_mad,0.625,0,0
alpha_mad,0.8125,9,0
alpha_mad,1.0,21,0
alpha_accept,0.25,5,6
alpha_accept,0.4375,3,6
alpha_accept,0.625,4,6
alpha_accept,0.8125,9,6
alpha_accept,1.0,9,6
min_intersection,1.0,5,0
min_intersection,2.0,7,0
min_intersection,3.0,7,5
min_intersection,4.0,6,10
min_intersection,5.0,5,15
