experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  3.4845653617107936E-01,88,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0221616500000000E-01,  3.7045500000000000E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  3.4845653617107936E-01,88,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  9.8685694000000004E-02,  4.0021200000000000E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  3.4845653617107936E-01,88,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0215082600000000E-01,  5.5351000000000000E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  3.4845653617107936E-01,88,2,503,500,3,  9.4364981574398021E-01,  1.0060000000000000E+00,  1.0000000000000000E+00,  9.7382792229915371E-01,  9.9900752999999995E-02,  3.9839600000000003E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  3.4845653617107936E-01,88,3,507,500,7,  8.8528799993668827E-01,  1.0140000000000000E+00,  1.0000000000000000E+00,  9.4528268694976814E-01,  9.9359404999999998E-02,  4.0014599999999999E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  3.4845653617107936E-01,88,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0026910600000000E-01,  4.1933999999999998E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  3.4845653617107936E-01,88,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  9.9994284000000003E-02,  4.1149699999999998E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  3.4845653617107936E-01,88,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0016512800000001E-01,  4.1847000000000000E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  3.4845653617107936E-01,88,2,503,500,3,  9.4364981574398021E-01,  1.0060000000000000E+00,  1.0000000000000000E+00,  9.7382792229915371E-01,  1.0504465200000000E-01,  4.2377600000000000E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  3.4845653617107936E-01,88,3,507,500,7,  8.8528799993668827E-01,  1.0140000000000000E+00,  1.0000000000000000E+00,  9.4528268694976814E-01,  9.9472513999999998E-02,  4.3635400000000002E-04,0
11,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,1,  3.4845653617107936E-01,88,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  9.9968842000000002E-02,  3.8474700000000001E-04,0
12,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,2,  3.4845653617107936E-01,88,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0047386899999999E-01,  6.4075700000000005E-04,0
13,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,3,  3.4845653617107936E-01,88,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0002623400000001E-01,  4.0116099999999998E-04,0
14,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,4,  3.4845653617107936E-01,88,2,503,500,3,  9.4364981574398021E-01,  1.0060000000000000E+00,  1.0000000000000000E+00,  9.7382792229915371E-01,  1.0011272300000000E-01,  3.8311500000000001E-04,0
15,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,5,  3.4845653617107936E-01,88,3,507,500,7,  8.8528799993668827E-01,  1.0140000000000000E+00,  1.0000000000000000E+00,  9.4528268694976814E-01,  9.9517990000000001E-02,  4.2060800000000000E-04,0
16,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,1,  3.4845653617107936E-01,88,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  9.9946379000000002E-02,  3.9580699999999997E-04,0
17,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,2,  3.4845653617107936E-01,88,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  9.9276028000000002E-02,  3.6945000000000001E-04,0
18,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,3,  3.4845653617107936E-01,88,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0139872900000001E-01,  3.7249800000000002E-04,0
